"typeLabel","placeName","choCount"
"gelatinenegatieven op acetaat","Sipaliwini (district)","20"
"schaalmodellen","Suriname","20"
"zwart-wit negatieven","Ixmiquilpan","20"
"gelatineplaatnegatieven","Batavia (Suriname)","20"
"foto's","L'Enfant Perdu","20"
"foto's","Poeloegoedoe","20"
"diapositieven","Bonaire","20"
"foto's","Sint Eustatius","20"
"digitale fotoafdrukken","Haïti","18"
"beelden","Kulusuk","18"
"afgietsels","Noord-Amerika","18"
"bustes","Noord-Amerika","18"
"foto's","Kotilolo-val","18"
"foto's","Zuid-Amerika","18"
"kindertekeningen","Canada","18"
"beelden","El Salvador","18"
"ontwikkelgelatinezilverdrukken","Windwardside","18"
"foto's","Yosemite Valley","18"
"prenten","Suriname","18"
"beelden","Puebla (deelstaat)","18"
"foto's","California","18"
"kindertekeningen","Arizona","18"
"lichtdrukken","Paramaribo","18"
"beelden","Centraal kustgebied van Peru","18"
"beelden","Alaska","18"
"kindertekeningen","New Mexico","18"
"daglichtgelatinezilverdrukken","Moengo","18"
"daglichtgelatinezilverdrukken","Groot Chatillon","18"
"foto's","Knopajamoi (berg)","18"
"gelatinenegatieven op nitraat","Kabelstation","18"
"ontwikkelgelatinezilverdrukken","Paloemeu (rivier)","18"
"gelatineplaatnegatieven","Coppename (rivier)","18"
"gelatineplaatnegatieven","Zanderij","18"
"ontwikkelgelatinezilverdrukken","Philipsburg","18"
"aquarellen","Paramaribo","16"
"zwart-wit negatieven","Sonora (deelstaat)","16"
"sculpturen","Tasiilaq","16"
"ontwikkelgelatinezilverdrukken","Coronie (district)","16"
"stereofoto's","Nickerie (district)","16"
"figuren (voorstellingen)","Timotes","16"
"foto's","Drietabbetje","16"
"kabinetfoto's","Guaymas","16"
"beelden","Cochiti pueblo","16"
"foto's","Montevideo","16"
"gelatinenegatieven op nitraat","Coronie (district)","16"
"gelatinenegatieven op acetaat","Nickerie (district)","16"
"albuminedrukken","Costa Rica","16"
"foto's","Allemandidonval","16"
"foto's","Papadron (waterval)","16"
"ontwikkelgelatinezilverdrukken","Drietabbetje","16"
"prenten","Pangnirtung","16"
"sculpturen","Ammassalik- district","16"
"installaties (beeldmateriaal)","Haïti","16"
"gelatineplaatnegatieven","Mexico","16"
"foto's","Trinidad","16"
"godenbeelden","Recife","16"
"daglichtcollodiumzilverdrukken","Suriname (rivier)","16"
"attributen","Salvador","16"
"glasnegatieven","Kassikassima (berg)","16"
"gelatineplaatnegatieven","Saramacca (rivier)","16"
"sculpturen","Cape Dorset","16"
"foto's","Grandafoetoe (stroomversnelling)","16"
"beelden","Noordelijk kustgebied van Peru","16"
"gelatinenegatieven op acetaat","Grote Baai","16"
"gelatinenegatieven op nitraat","Kadjoe","16"
"ontwikkelgelatinezilverdrukken","Kadjoe","14"
"gelatineplaatnegatieven","Paloemeu (rivier)","14"
"ontwikkelgelatinezilverdrukken","Kralendijk","14"
"gelatineplaatnegatieven","Sint Maarten","14"
"beelden","Amozoc","14"
"beelden","Midden- en Zuid-Amerika","14"
"albuminedrukken","Barbados","14"
"digitale fotoafdrukken","Guadeloupe","14"
"zwart-wit negatieven","Tlaxcala (deelstaat)","14"
"heiligenbeelden","Brazilië","14"
"zwart-wit negatieven","México (deelstaat)","14"
"positieven (beeldmateriaal)","Jamaica","14"
"kerststalfiguren","New Mexico","14"
"figuren (voorstellingen)","New Mexico","14"
"figuren (voorstellingen)","Verenigde Staten van Amerika","14"
"gelatinenegatieven op nitraat","Curaçao","14"
"foto's","Saint Vincent (eiland)","14"
"gelatinenegatieven op acetaat","Tlaxcala (deelstaat)","14"
"altaarstukken","Mexico","14"
"ontwikkelgelatinezilverdrukken","Mexico","14"
"ontwikkelgelatinezilverdrukken","Mexico-Stad","14"
"gelatinenegatieven op acetaat","Nieuw Nickerie","14"
"beelden","Antigua","14"
"ontwikkelgelatinezilverdrukken","New York City","14"
"volksprenten","Colombia","14"
"beelden","Paraguay","14"
"diapositieven","Peru","14"
"kabinetfoto's","Oklahoma","14"
"tekeningen","Cuba","14"
"gelatinenegatieven op nitraat","Dirkshoop","14"
"gelatineplaatnegatieven","Cottica (rivier)","14"
"figuren (voorstellingen)","Tzintzuntzan","14"
"gelatinenegatieven op acetaat","Cuautla","14"
"beelden","Jaina (eiland)","14"
"foto's","Panapie","14"
"foto's","Lima","14"
"zwart-wit negatieven","Cuautla","14"
"kleurendia's","Santa Cruz","14"
"beelden","Crato","14"
"beelden","Paaseiland","14"
"gelatinenegatieven op acetaat","Actopán","12"
"foto's","Tierra del Fuego -Chili","12"
"borduurwerk","Atla","12"
"potloodtekeningen","Suriname","12"
"glasnegatieven","Venezuela","12"
"poppen (figuurvoorstellingen)","Pernambuco (deelstaat)","12"
"etsen (prenten)","Brazilië","12"
"schilderingen","Guerrero (deelstaat)","12"
"foto's","Nederlandse Antillen","12"
"gelatinenegatieven op acetaat","Uruapan","12"
"glasnegatieven","Kortoefoetoe (stroomversnelling)","12"
"beelden","Teotihuacán","12"
"foto's","Emma (rivier)","12"
"figuren (voorstellingen)","Cochiti pueblo","12"
"foto's","Hato","12"
"foto's","Magneetrots","12"
"medailles","Brazilië","12"
"prenten","Groenland- West","12"
"maquettes","Ammassalik- district","12"
"medailles","Canada","12"
"prenten","British Columbia","12"
"gelatinenegatieven op nitraat","Apetina","12"
"foto's","Tebu Top","12"
"foto's","Gran Soela","12"
"figuurvoorstellingen","Santa Cruz de la Flores","12"
"lithografieën (prenten)","Groenland- West","12"
"zwart-wit negatieven","Nauzontla","12"
"gelatinenegatieven op acetaat","Nauzontla","12"
"figuurvoorstellingen","Acatlán (Puebla)","12"
"foto's","Noord-Amerika","12"
"kindertekeningen","White River (USA, rivier)","12"
"beelden","Nabón","12"
"ontwikkelgelatinezilverdrukken","Commewijne (district)","12"
"beelden","Panama","12"
"figuren (voorstellingen)","Puebla (deelstaat)","12"
"volksprenten","Mexico","12"
"kleurendia's","Nederlandse Antillen","12"
"kachina-poppen","New Mexico","12"
"daglichtgelatinezilverdrukken","Saramacca (rivier)","12"
"zwart-wit negatieven","Actopán","12"
"zwart-wit negatieven","Zacualtipán","12"
"ontwikkelgelatinezilverdrukken","Sint Maarten","12"
"zwart-wit negatieven","Tlacolula","12"
"luchtfoto's","Willemstad","12"
"ontwikkelgelatinezilverdrukken","Langatabbetje","12"
"gelatinenegatieven op acetaat","Pátzcuaro","12"
"foto's","Kassikassima (berg)","12"
"zwart-wit negatieven","Uruapan","12"
"gelatinenegatieven op acetaat","Zacualtipán","12"
"beelden","Celaya","12"
"gelatineplaatnegatieven","Lelydorp","12"
"beelden","Ancon","12"
"gelatineplaatnegatieven","Wilhelmina-gebergte","12"
"glasnegatieven","Tebu Top","10"
"foto's","Valparaíso","10"
"beelden","Recife","10"
"attributen","Recife","10"
"beeldhouwwerken","Nuuk","10"
"daglichtgelatinezilverdrukken","Saramacca (district)","10"
"kruisen","Jalisco (deelstaat)","10"
"godenbeelden","Mexico","10"
"glasnegatieven","Intelwakondre","10"
"glasnegatieven","Paramaribo","10"
"figuren (voorstellingen)","Quinchamalí","10"
"ontwikkelgelatinezilverdrukken","Bonaire","10"
"beelden","Ameyaltepec","10"
"ontwikkelgelatinezilverdrukken","Jamaike","10"
"gelatinenegatieven op nitraat","Paloemeu (rivier)","10"
"zwart-wit negatieven","Cholula","10"
"foto's","Tuscarora Indian reservation","10"
"sculpturen","Alaska","10"
"zwart-wit negatieven","Tantoyuca","10"
"beelden","Araguaia (rivier)","10"
"ontwikkelgelatinezilverdrukken","Fort-baai","10"
"gelatinenegatieven op acetaat","Acolman","10"
"foto's","Granbori","10"
"foto's","Kentoefoe","10"
"aquarellen","Coronie (district)","10"
"foto's","Para (district)","10"
"ontwikkelgelatinezilverdrukken","Peru","10"
"houtsneden","Zuid-Amerika","10"
"olieverfschilderingen","Cuba","10"
"prenten","Verenigde Staten van Amerika","10"
"beeldhouwwerken","Groenland- Noord","10"
"zwart-wit negatieven","Acolman","10"
"ontwikkelgelatinezilverdrukken","Saramacca (rivier)","10"
"ontwikkelgelatinezilverdrukken","São Paulo","10"
"beelden","Bananal (eiland)","10"
"gelatinenegatieven op acetaat","Wageningen -Suriname","10"
"gelatinenegatieven op acetaat","Marowijne (rivier)","10"
"gelatinenegatieven op acetaat","Cholula","10"
"kindertekeningen","Oraibi","10"
"etsen (prenten)","Groenland","10"
"gelatinenegatieven op acetaat","Tantoyuca","10"
"daglichtgelatinezilverdrukken","Coronie (district)","10"
"gelatinenegatieven op nitraat","Saramacca (district)","10"
"beelden","Venezuela","10"
"foto's","Frans-Guyana","10"
"schilderingen","New York State","10"
"daglichtcollodiumzilverdrukken","Curaçao","10"
"ontwikkelgelatinezilverdrukken","Taxco","10"
"stereofoto's","Nickerie (rivier)","10"
"foto's","Bottom","10"
"etsen (prenten)","Curaçao","10"
"gouaches (schilderingen)","Pucallpa","10"
"gelatinenegatieven op nitraat","Onverdacht","10"
"zwart-wit negatieven","Tetelcingo","10"
"gelatinenegatieven op acetaat","Tetelcingo","10"
"ontwikkelgelatinezilverdrukken","Moengo","10"
"zwart-wit negatieven","Teotitlán del Valle","10"
"kruisen","Huancayo","10"
"ontwikkelgelatinezilverdrukken","Wayombo (rivier)","10"
"gelatineplaatnegatieven","Willemstad","10"
"foto's","Gansee","10"
"diepdrukken","Paramaribo","8"
"gelatineplaatnegatieven","Boslanti","8"
"beelden","Salvador","8"
"beelden","Nicoya","8"
"prenten","Groenland","8"
"beeldhouwwerken","Kuummiit","8"
"poppen (figuurvoorstellingen)","Diilerilaaq","8"
"poppen (figuurvoorstellingen)","Commewijne (district)","8"
"gelatinenegatieven op acetaat","Frederick Willem IV-vallen","8"
"gelatinenegatieven op nitraat","Nickerie (district)","8"
"gelatineplaatnegatieven","Coronie (district)","8"
"aquarellen","Para (district)","8"
"broodfiguren","Ecuador","8"
"ontwikkelgelatinezilverdrukken","Veracruz (deelstaat)","8"
"glasnegatieven","Zuid-Amerika","8"
